name,artist,description,public_private,server,date,num,img
Sledge and Jager,OneCripsyChip,2x2 2D mapart of R6.,public,sun,N/A,96,sun/96.png
Mysterious Girl - NinjaLemon007,NinjaLemon007,1x1 2D mapart of Minewind femoid.,public,sun,06/18/2020,97,sun/97.png
slippery hands,Floppyoppy,Spongebob Diner Dash 1x2 2D mapart.,public,sun,N/A,98,sun/98.png
Dickbutt ~ZlashyYG,ZlashyYG,You guys remember when Enderman built Dickbutt? Me too. 1x1 2D mapart.,public,sun,N/A,99,sun/99.png
Goku ~ZlashyYG,ZlashyYG,"""White silence, is violence."" -Goku 1x1 2D mapart.",public,sun,N/A,100,sun/100.png
Chess Pieces,"Krylord3, mungman","Comission for Lej1t, 14 unique 2D 1x1 maparts.",public,sun,06/11/2020,101,sun/101.png
Doofy,NinjaLemon007,This map was made for Doofydude as part of a giveaway on the Sun Discord. 1x1 2D.,private,sun,06/03/2020,102,sun/102.png
Moonset,NinjaLemon007,"5x6 2D Fullblock, took 13 whole days!",private,sun,06/05/2020,103,sun/103.png
Hands,NinjaLemon007,A private 1x2 2D mapart commission for PeterD101.,private,sun,05/2020,104,sun/104.png
Obama,NinjaLemon007,1x1 2D mapart made for Multigender as part of a giveaway on the Sun Discord.,private,sun,06/18/2020,105,sun/105.png
Barf,BarfingRainbows_,A personal map art that I chose to just share. 1x1 2D mapart.,public,sun,07/05/2020,106,sun/106.png
The Pickleman,TrillestLucina,The Pickleman tricked me again... 1x1 3D mapart.,private,sun,07/08/2020,107,sun/107.png
USSR_SilVerScientiST,SilVerScientiST,Why the fuck did nobody laugh when I played the Soviet Anthem Earrape on the bus 1x1 2D mapart.,public,sun,05/30/2020,108,sun/108.png
Morgan,BarfingRainbows_,2x2 2D Map of Arthur Morgan from RDR2.,public,sun,07/23/2020,109,sun/109.png
Java,java488,Two unique 1x1 2D maps that display the java logo and a blank canvas.,public,sun,07/25/2020,110,sun/110.png
Hearts,NinjaLemon007,1x1 2D tile map for a heart pattern.,public,sun,07/27/2020,111,sun/111.png
Hungry Hippos,NinjaLemon007,1x1 2D gang sign for famished mammals.,public,sun,07/28/2020,112,sun/112.png
Warrior of Sunlight - Captain_Fred,Captain_Fred01,1x1 2D mapart of the Warrior of Sunlight on the Minewind sun server.,public,sun,07/22/2020,113,sun/113.png
Ducky - Hidden51,Hidden51,1x1 2D mapart of a quacking pal.,public,sun,07/25/2020,114,sun/114.png
The Prisoner,NinjaLemon007,4x6 2D mapart of a pencil sketch on r/bigchungus.,public,sun,07/26/2020,115,sun/115.png
Lanark,java488,Album cover of C418 Minecraft soundtrack 2x2 2D mapart.,public,sun,08/01/2020,116,sun/116.png
Lil Buddy,zafnplus,1x1 3D tiling map of a yellow buddy.,public,sun,08/01/2020,117,sun/117.png
Longcat,L_RandallBoxwood,3x1 2D map of a elongated chonker.,public,sun,08/02/2020,118,sun/118.png
Feesh,NinjaLemon007,1x1 2D map tiling of Skydoesminecraft yelling FIESH and his audience errupting in laughter.,public,sun,08/02/2020,119,sun/119.png
HOS,java488,1x1 2D clan map for Hand of Sable.,private,sun,N/A,120,sun/120.png
Tetris,java488,1x1 2D tiling map of a tetris pattern.,public,sun,08/16/2020,121,sun/121.png
"Tangir, the furry artist",Tangir,1x1 2D map of a sketch drawn by Tangir.,private,sun,08/16/2020,122,sun/122.png
"Kakistocracy, the frog fanatic",Tangir,1x1 2D sketch drawn for Kaki by Tangir.,private,sun,N/A,123,sun/123.png
Doofy,"java488, Hidden51, Captain_Fred01",2x1 2D wanted poster of doofydude after he had bombed an orphanage.,public,sun,08/22/2020,124,sun/124.png
Pills,java488,2x2 2D map of a family guy character spamming nitro emojis on discord.,public,sun,08/27/2020,125,sun/125.png
Troy Labyrinth,L_RandallBoxwood,1x1 2D map of a mazebook puzzle.,public,sun,08/27/2020,126,sun/126.png
Mojang,NinjaLemon007,3x1 2D map of the new Mojang Studios logo.,public,sun,08/27/2020,127,sun/127.png
Mocking Jay,NinjaLemon007,1x1 2D map of minecraft Hunger Games ep 492.,public,sun,08/30/2020,128,sun/128.png
Suits,java488,1x2 2D map of the four playing card suits.,public,sun,08/31/2020,129,sun/129.png
mock on a cock,Artael + crubleigh,special edition of sun spin map for mock,private,sun,09/13/2020,130,sun/130.png
Server Indicator Sun,crubleigh & Mockin_Jay & zafnplus,2x2 rastered indicator map for sun,public,sun,10/04/2020,131,sun/131.png
Lotti,Rilay,"A memory for the rabbit ""Lotti"" that died on Feb 3rd 2018. RIP",private,sun,05/2018,132,sun/132.png
Erect for Deggs,tatatot234,"An edited version of the ""Completely Erect"" Crash bandicoot meme. Woah.",private,sun,05/2018,133,sun/133.png
Open Sign,NinjaLemon007,"1x1 2D map of an open and close sign intended for a mapart gallery entrance. Upon covering the map with a sign the ""closed"" textures are hidden for a clean effect.",public,sun,N/A,134,sun/134.png
Neko,NinjaLemon007,"3x4 2D map of a lady freezing to death in the icy tundra, may God rest her soul.",public,sun,N/A,135,sun/135.png
Our Diamonds,wunderkindt,1x1 2D map of Steve with a freaking diamond.,public,sun,07/27/2020,136,sun/136.png
Starbound Penguin,wunderkindt,Map of Kowalski analyzing the spawn region 1x1 3D mapart.,public,sun,08/30/2020,137,sun/137.png
Wall-E,wunderkindt,1x1 2D map of Wall-E looking at the sky for bogies during a Bait event.,public,sun,10/16/2020,138,sun/138.png
Nectar,mccheesesteak,2x2 2D mapart of the Nectar album cover.,public,sun,10/18/2020,139,sun/139.png
Skeleton,BiggumsRTMC,2x1 3D mapart of a skeleton in your freaking closet.,public,sun,10/21/2020,140,sun/140.png
Alpaca,Hidden51,1x1 2D mapart of jeb_ alpaca.,public,sun,08/21/2020,141,sun/141.png
The Founders,zafnplus,1x1 3D mapart of the original founders of Minewind.com - AKA - Your Eggly Overlords.,public,sun,10/25/2020,142,sun/142.png
Pika Meme,TheEternalPear,1x1 2D mapart of flightreacts Among Us meme compilation video.,public,sun,10/31/2020,143,sun/143.png
Monochrome Chick,Hidden51,1x1 2D mapart of Chicken Run on DVD. Chicken Run is a pretty cool movie to watch with friends and family.,public,sun,11/05/2020,144,sun/144.png
Turkey,Hidden51,Turkey Tussle 1x1 2D mapart. Minewind knows a good Thanksgiving ham and turkey I'll tell you what.,public,sun,11/07/2020,145,sun/145.png
Phoenix,Hidden51,"1x1 2D mapart of an aerial view of Phoenix, AZ.",public,sun,11/08/2020,146,sun/146.png
Tree,Hidden51,"The giving tree 1x1 2D mapart. You ask and it gives you food to eat, pretty sophisticated stuff.",public,sun,11/10/2020,147,sun/147.png
Griffin,Hidden51,"Can you believe there are no Peter Griffin maparts on sun yet? For those avian fans and lion tamers, the griffin is a buff querky jock in the nest of nature. Griffin has big feathers and a big heart and can rock your socks off with a loud screeching noise. 1x1 2D mapart.",public,sun,11/10/2020,148,sun/148.png
Black Bear,Hidden51,"This bear sits and waits for the ATF to raid his home. To pass the time, he watches Tobuscus Survival Minecraft letsplays while eating Cheddar Flavor Blasted Goldfish. 1x1 2D mapart.",public,sun,11/11/2020,149,sun/149.png
Hen and Chick,Hidden51,"It's really difficult building chicken farms on this server. These two chickens are spelling their own demise as they huddle close. Their exothermic reaction will cause them to atomize and disappear from existence. What a cruel fait befalls these two pecking people, as they enter the void. 1x1 2D mapart.",public,sun,11/12/2020,150,sun/150.png
Wolf,Hidden51,2x1 2D mapart of a wolf exhaling a vape cloud into the night sky. Nicotine has gotten a hold of this mammal and he just can't keep his paws off it,public,sun,11/14/2020,151,sun/151.png
Cuddles,Hidden51,"1x1 2D mapart of the now sober nicotine addict wolf find peace with himself. He straightened out his life and asked the girl at work if they liked Toon Blast, she said yes and now they are lovers for life.",public,sun,11/15/2020,152,sun/152.png
Cool af dino,java488,2x1 2D full block. Dinosaur under the rain.,public,sun,11/19/2020,153,sun/153.png
Ninja's Christmas 2020,NinjaLemon007,Free 3D 1x1 map to celebrate Christmas.,public,sun,11/24/2020,154,sun/154.png
Oh boy I hope I don't encounter any-oh god no!,NinjaLemon007,1x1 2D aerial view of NinjaLemon007's canvas.,public,sun,11/25/2020,155,sun/155.png
Cowboy Beepbop,Cyborron,2x4 2D mapart of Cowboy Cunnings and his silver star gang.,public,sun,11/25/2020,156,sun/156.png
Poyo,Tubeless2108,1x1 2D mapart of a goomba staring at your bowl of beetroot soup.,public,sun,12/05/2020,157,sun/157.png
Holiday E-Kiss,BiggumsRTMC,1x1 3D mapart of Jimmy Neutron getting sexually assaulted by Cindy Vortex (Chorus Fruit in hand).,public,sun,12/05/2020,158,sun/158.png
Frame Maps,NeverLuckys,3 1x1 3D maparts that make a funny frame with your maparts.,public,sun,12/07/2020,159,sun/159.png
Jett,NeverLuckys,5x3 3D mapart of a knife throwing overwatch character.,public,sun,12/07/2020,160,sun/160.png
festive,crubleigh,"I hate people and i have a tp to their base, christmas wrapping 1x1 2D tiling map.",public,sun,12/10/2020,161,sun/161.png
Sylvanas,NeverLuckys,2x2 3D mapart warding people of the dangers of pink eye.,public,sun,12/11/2020,162,sun/162.png
Lain_Sprudo.PNG,L_RandallBoxwood,1x1 2D mapart of the exaggerated swagger of an internet deity.,private,sun,12/12/2020,163,sun/163.png
RoboMon,zafnplus,"2x1 2D mapart of CHIKMON's belly button photoshopped as robocop's mouth. Your move, creepers.",private,sun,12/13/2020,164,sun/164.png
The Forest Village,"Mockin_Jay, Crubleigh, TechnoArrow, NinjaLemon007, Legendofstarship, BiggumsRTMC, java488, 21kitchensinks, Fred786, ninaad, Nyxiia, zafnplus, Nowher, AlchemicalMacaw, Cyborron, FuneralSuits, TOM203, X1952, mungman, blackjack06, iRaven, MrSandwich, Necropolis666, Doshie_, Unlysted",0x11 2D mapart of a village in the forest. This community project was made to beat the world record mapart Veil Nebula on 9b9t.,public,sun,12/16/2020,165,sun/165.png
Monkey Mute,TechnoArrow,1x1 2D mapart gift for __mute.,public,sun,12/18/2020,166,sun/166.png
Kraken,Cyborron,Squidbillies season premiere 1x1 2D mapart.,public,sun,N/A,167,sun/167.png
Saitama,Cyborron,Ok 1x1 2D mapart.,public,sun,N/A,168,sun/168.png
Flower_Skull,Cyborron,1x1 2D mapart of a Guns and Roses album cover.,public,sun,N/A,169,sun/169.png
Burning_Elmo,Cyborron,"1x1 2D mapart ""If a woman approaches an animal to have sexual relations with it, kill both the woman and the animal. They must be put to death; their blood will be on their own heads."" Leviticus 20:16",public,sun,N/A,170,sun/170.png
Melting_Heart,Cyborron,Melting heart caused by visceral organs being ripped out of abdominal region and shoved into a microwave 1x1 2D mapart.,public,sun,N/A,171,sun/171.png
Doggo,Cyborron,Dog character being asphyxiated by an abusive owner 1x1 2D mapart.,public,sun,N/A,172,sun/172.png
Blend S,Cyborron,x3 2D mapart of an underaged girl locked in a bedroom with contaminated drinking water and minimum food to eat.,public,sun,12/21/2020,173,sun/173.png
Thonk,wunderkindt,1x1 2D mapart of a woman experiencing a capgras delusion where all of her friends and relatives have been replaced by herobrine.,public,sun,N/A,174,sun/174.png
Dementia,enc2103,Do I have dementia? 1x1 2D mapart.,public,sun,N/A,175,sun/175.png
crub set,Crubleigh,1x1 2D tiling of Crubleighs face plastered in different colors.,public,sun,N/A,176,sun/176.png
Christmas Skellybob,Lexie,Bone-dry chapped lips festive spirit 1x1 2D mapart.,public,sun,N/A,177,sun/177.png
Black Skellybob,Lexie,George Floyd Skeleton 1x1 2D mapart.,public,sun,N/A,178,sun/178.png
Skellybob Riot,Lexie,1x1 2D tiling mapart of a bunch of black figures gathering together to create property damage.,public,sun,N/A,179,sun/179.png
weep irl,N/A,1x1 2D mapart of weeping angels skydoesminecraft mod review.,public,sun,N/A,180,sun/180.png
merry christmas squarewave_!!,mungman,When the impostor is sus??!?!?? 1x1 2D mapart.,public,sun,N/A,181,sun/181.png
Miku,TheEternalPear,2x2 2D mapart of a railway supervisor deviating from standard procedure and causing a derailing incident.,public,sun,N/A,182,sun/182.png
Porter,TheEternalPear,2x3 2D mapart of a woman drowning in the ocean while her friend who suffers an equally grim fate watches her die.,public,sun,N/A,183,sun/183.png
Black Rock Shooter,TheEternalPear,2x1 2D mapart of sans undertale in real.,public,sun,N/A,184,sun/184.png
Christmas Miku,TheEternalPear,"The railway supervisor is a sadist with an unshakeable lust to kill and injure as many people as possible this holiday season. Before slaughtering hundreds, Miku retreats in her winter lodge posing for Christmas cards that will be mailed with explosives 2x1 2D mapart.",public,sun,N/A,185,sun/185.png
Meme Guy,TheEternalPear,1x1 2D mapart of Ben Stiller wearing a red bandanna.,public,sun,N/A,186,sun/186.png
Pear's illusion,TheEternalPear,Eye straining galore 1x1 2D mapart.,public,sun,N/A,187,sun/187.png
Bass Slut,TheEternalPear,I'm a slut for diamonds and emeralds 1x1 2D mapart.   ,public,sun,N/A,188,sun/188.png
RWBY,TheEternalPear,1x2 2D mapart of Ruby Tuesdays restaurant.,public,sun,N/A,189,sun/189.png
Mic Check,TheEternalPear,Once again the sadistic railway supervisor known as Miku is testing a long-range acoustic device to torture the inhabitants of the East Chicago area by generating high frequency pitches to rupture eardrums and cause permanent hearing damage. 2x1 2D mapart.,public,sun,N/A,190,sun/190.png
Hentai Selfie,TheEternalPear,Pride is a sin 2x1 2D mapart.,public,sun,N/A,191,sun/191.png
MineHub,TheEternalPear,"If you like Minewind, you will love Minewind Live 3x1 2D mapart.",public,sun,N/A,192,sun/192.png
Fantasy,TheEternalPear,A girl has fallen in the woods and is bleeding in the back of their head and cannot get up. She calls for help in the span of several hours till her voice gives out. With nobody to help her she grows lightheaded from significant blood loss until a pack of feral cats tear her flesh into bits in agonizing fashion. 2x3 2D mapart.,public,sun,N/A,193,sun/193.png
Sqaurewave Tile Maps,Crubleigh,2 tiling and customized for squarewave and squareware industries 1x1 2D mapart.,public,sun,12/24/2020,194,sun/194.png
Sqaure Yellow,Crubleigh,1x1 2D orange tiling mapart for squarewave and squareware industries.,public,sun,12/24/2020,195,sun/195.png
Q*bert,Cyborron,2x3 2D mapart of the Annoying Orange video game.,public,sun,12/29/2020,196,sun/196.png
High Calories,ComfyMahler,Diabeetroot 1x1 2D mapart.,public,sun,01/02/2021,197,sun/197.png
Empeiria Minewind,ComfyMahler,1x1 2D mapart of a emerald pickaxe.,public,sun,01/03/2021,198,sun/198.png
Flower,Mockin_Jay,3x2 2D mapart of a flower forest biome sunset.,public,sun,01/04/2021,199,sun/199.png
Fire Truck,Mockin_Jay,1x1 2D mapart EffYouSeeKay.,public,sun,01/04/2021,200,sun/200.png
Rin and Nade,ComfyMahler,Would you like to sign our petition? 2x3 2D mapart.,public,sun,01/05/2021,201,sun/201.png
